publication,label
Tras el reportaje de , que reveló cómo algunos congresistas reciben viáticos de hasta S/1,600 semanales inc…",4
¡ con SofIA! Míranos de lunes a viernes a las 6:00 pm por Tiktok, X, Youtube Shorts y Facebook e Instagram Ree…",4
"Esta semana cayó Gerardo Chunga, tras un seguimiento que desnudó su falso anonimato digital. En simultáneo, fue intervenido el hostal que usaba como centro de operaciones, donde se rescataron tres menores de 14, 15 y 16 años, una de ellas embarazada ►",4
"La Fiscalía decidió actuar antes de que las evidencias desaparecieran. Con un agente encubierto se infiltró en ese entorno para seguir el rastro, recolectar pruebas y, sobre todo, identificar a “Pollito Amarillo”. Así fue como lograron contactarlo ►",4
"Según la Fiscalía, Gerardo Chunga, exintegrante de la FAP, habría usado sus conocimientos no para servir al país, sino para involucrarse en graves delitos contra menores. Durante años, sus publicaciones en redes sociales estuvieron expuestas sin que nadie lo alertara",4
"Desde la Municipalidad de Ate, la gestión de Franco Vidal permitió que tres hermanos se adjudiquen contratos millonarios. En Huaycán, una de sus empresas dejó una obra abandonada, entre escombros y peligro para los vecinos ►",4
"Desde aquel 29 de junio, cuando hallaron sin vida a José Miguel Castro en su departamento de Miraflores, las circunstancias han estado rodeadas de dudas. Tres meses después, nuevos indicios refuerzan la sospecha de que aquella madrugada no todo ocurrió como se dijo",4
"Elecciones 2026: Rafael López Aliaga lidera con 10% en encuesta Ipsos, mientras Mario Vizcarra sube a 7% y empata con Keiko Fujimori",4
"Los informes de representación de Rosangella Barbarán revelan que, pese a que gran parte de sus actividades fueron en Lima —incluso por Zoom o dentro del Congreso—, su despacho destinó viáticos para dos comisionadas: 1280 soles cada una por 4 días ►",4
"Franco Vidal, el alcalde que no tolera críticas y se refugia en su comunidad digital, permitió que un mismo grupo de hermanos se adjudique obras repetidamente. Los apellidos se repiten, los contratos se multiplican y las obras quedan inconclusas ►",4
"Pollito amarillo: El alias que delató al depredador digital de la FAP, por   Un exsuboficial de la FAP entrenado en ciberseguridad fue capturado tras liderar una red de explotación sexual de menores",4
"Aún falta esclarecer quiénes frustraron los dos intentos de captura de Erick Moreno, “El Monstruo”. La información de sus cuatro celulares será clave, mientras permanece en el penal de máxima seguridad de Emboscada, en Paraguay ►",4
"El informe de necropsia fue determinante: la herida de José Miguel Castro mide 27 cm y no 14, como señaló la policía. Con 5 cm de ancho y 4.5 cm de profundidad, el corte no es compatible con un suicidio. Aunque no se hallaron golpes ni señales de defensa, la",4
"El viernes, la congresista electa por San Martín, Lucinda Vásquez, realizó actividades en la plaza Bolívar y no en su región. Aunque lo niegue, en sus viajes de representación designó como comisionados a dos sobrinos, quienes además de su sueldo recibieron viáticos.",4
"Francisco Rivadeneyra, exjefe de la BRECC Lima Norte, afirmó que una mafia más grande colocó a 'El Monstruo' como cabecilla criminal y que, tras su captura, sus sicarios siguen activos",4
"Para el “Monstruo”, el secuestro es su negocio y la extorsión, el giro de su empresa. Además, el delincuente aseguró que la policía peruana le advertía de algunos allanamientos en su contra ►",4
"Franco Vidal convirtió a Ate en un set de streaming. Pero detrás del show, otra historia: bajo su gestión, la familia Huamán Navarro ha concentrado contratos de obras por casi 30 millones de soles en menos de tres años ►",4
"Otros contratos millonarios y la misma familia en Ate, por Alonso Dávila  Durante la gestión de Franco Vidal, empresas de una misma familia recibieron millones en obras",4
