Emoji,Significado
👏,[manosaplaudiendo]
❤️,[corazónrojo]
🙌,[manoslevantadascelebrando]
😍,[carasonriendoconojosdecorazón]
😭,[carallorandofuerte]
🏻,[tonodepielclaro]
😢,[carallorando]
😂,[carallorandoderisa]
🔥,[fuego]
👍,[pulgarhaciaarriba]
💪,[bícepsflexionado]
🏼,[tonodepielclaromedio]
🤡,[caradepayaso]
🇪,[E]
💕,[doscorazones]
🇵,[P]
🥺,[caradeporfavor]
♥,[palodecorazón]
😊,[carafelizconojossonrientes]
🥑,[aguacate]
🤣,[cararevolviéndosedelarisa]
🏽,[tonodepielmedio]
🙏,[manosenoración]
🤗,[caraconmanosabrazando]
💜,[corazónmorado]
🎉,[cañóndeconfeti]
😱,[caragritandodemiedo]
👌,[señaldeaprobaciónconlamano]
😎,[carasonriendocongafasdesol]
💛,[corazónamarillo]
😘,[caralanzandounbeso]
✨,[chispas]
😮,[caraconlabocaabierta]
😔,[caradesanimada]
🖤,[corazónnegro]
🤔,[carapensativa]
💙,[corazónazul]
🤩,[carasonriendoconestrellas]
👎,[pulgarhaciaabajo]
💯,[cienpuntos]
🙄,[caraconojosenblanco]
👀,[ojos]
🔝,[flechaTOP]
😅,[carasonriendoconsudorfrío]
😉,[caraguiñandoelojo]
💔,[corazónroto]
💚,[corazónverde]
💖,[corazónbrillante]
🎓,[birrete]
♀,[signofemenino]
💗,[corazóncreciente]
😻,[caradegatosonriendoconojosdecorazón]
🤭,[caraconmanosobrelaboca]
🏾,[tonodepieloscuromedio]
😆,[carasonriendoconlosojoscerrados]
☹,[caraconelceñofruncido]
🤧,[caraestornudando]
🥰,[carasonriendoconcorazones]
😁,[cararadianteconojossonrientes]
😃,[carasonriendoconojosgrandes]
💓,[corazónlatiendo]
✌,[manoconseñaldevictoria]
♂,[signomasculino]
😀,[carasonriendo]
😞,[caradecepcionada]
🤮,[caravomitando]
🙋,[personaconlamanolevantada]
🙈,[monoconlosojostapados]
😪,[caradesueño]
🐀,[rata]
😌,[caradealivio]
🐔,[gallina]
😑,[carasinexpresión]
🏿,[tonodepieloscuro]
🐷,[caradecerdo]
🌟,[estrellabrillante]
😳,[carasonrojada]
💞,[corazonesgiratorios]
😣,[caradeinsistencia]
🦠,[microbio]
😥,[caratristeperoaliviada]
🌈,[arcoíris]
🤙,[manohaciendoelgestodellamar]
🐺,[caradelobo]
🥳,[caradefiesta]
☺,[carasonriente]
🙁,[caraconelceñoligeramentefruncido]
🌸,[flordecerezo]
🤦,[personaconlamanoenlafrente]
🎊,[boladeconfeti]
🍀,[tréboldecuatrohojas]
🙊,[monoconlabocatapada]
😒,[caradedesaprobación]
😐,[caraneutral]
🎶,[notasmusicales]
🧐,[caraconmonóculo]
😄,[carasonriendoconojossonrientes]
😏,[carasonriendoconsuperioridad]
☝,[dedoíndicehaciaarriba]
📲,[móvilconunaflecha]
👐,[manosabiertas]
😠,[caraenfadada]
🤬,[caraconsímbolosenlaboca]
🙃,[caraalrevés]
🙂,[carasonriendoligeramente]
🏆,[trofeo]
😬,[carahaciendounamueca]
🤷,[personaencogidadehombros]
💝,[corazónconlazo]
👨,[hombre]
🥲,[carasonrienteconlágrima]
🤓,[caradeempollón]
😫,[caracansada]
👩,[mujer]
😿,[caradegatollorando]
👉,[dorsodemanocondedoíndicehacialaderecha]
💢,[símbolodeenfado]
🤘,[manohaciendoelsignodecuernos]
📌,[chincheta]
😇,[carasonriendoconaureola]
😡,[caracabreada]
😩,[caraagotada]
♡,[♡]
❣,[exclamacióndecorazón]
🤨,[caraconcejaalzada]
💘,[corazónconflecha]
🌴,[palmera]
😲,[caraasombrada]
😓,[caraconsudorfrío]
👇,[dorsodemanocondedoíndicehaciaabajo]
🍻,[jarrasdecervezabrindando]
😨,[caraasustada]
💃,[mujerbailando]
💇,[personacortándoseelpelo]
🤤,[carababeando]
📷,[cámaradefotos]
📸,[cámaraconflash]
🐿,[ardilla]
😋,[carasaboreandocomida]
Ⓜ,[mencírculo]
🎸,[guitarra]
✊,[puñoenalto]
🎈,[globo]
🚨,[lucesdepolicía]
🤞,[dedoscruzados]
⚠,[advertencia️]
💻,[ordenadorportátil]
💟,[adornodecorazón]
🔴,[círculorojogrande]
😕,[caradeconfusión]
😜,[carasacandolalenguayguiñandounojo]
😯,[caraestupefacta]
🤍,[corazónblanco]
🤢,[caradenáuseas]
💫,[símbolodemareo]
